group_type,group,filter_name,rows,sl,tp2,sl_rate,tp2_rate,avg_r,total_r,sl_removed_vs_base,tp2_retention_vs_base,total_r_delta_vs_base
quarter,2025Q3,base_v1_test_unfiltered,473.0,272.0,193.0,0.5750528541226215,0.4080338266384778,0.35187872119696434,166.43863512616414,0.0,1.0,0.0
quarter,2025Q4,base_v1_test_unfiltered,638.0,424.0,209.0,0.664576802507837,0.3275862068965517,0.06216140383852068,39.658975648976195,0.0,1.0,0.0
quarter,2026Q1,base_v1_test_unfiltered,610.0,370.0,226.0,0.6065573770491803,0.3704918032786885,0.2728192553918003,166.41974578899817,0.0,1.0,0.0
quarter,2025Q3,static_v1_5_mss_variable,308.0,150.0,153.0,0.487012987012987,0.4967532467532468,0.6610240707130178,203.5954137796095,0.4485294117647059,0.7927461139896373,37.15677865344534
quarter,2025Q4,static_v1_5_mss_variable,398.0,225.0,168.0,0.5653266331658291,0.4221105527638191,0.40544972747388724,161.36899153460712,0.4693396226415094,0.8038277511961722,121.71001588563092
quarter,2026Q1,static_v1_5_mss_variable,335.0,158.0,166.0,0.4716417910447761,0.4955223880597015,0.666653635573314,223.3289679170602,0.572972972972973,0.7345132743362832,56.90922212806203
quarter,2025Q3,ml_stage2_prob_ge_0.25,340.0,166.0,169.0,0.48823529411764705,0.4970588235294118,0.6615900300002068,224.9406102000703,0.3897058823529412,0.8756476683937824,58.50197507390615
quarter,2025Q4,ml_stage2_prob_ge_0.25,473.0,270.0,198.0,0.5708245243128964,0.4186046511627907,0.3837964204495101,181.53570687261828,0.3632075471698113,0.9473684210526315,141.87673122364208
quarter,2026Q1,ml_stage2_prob_ge_0.25,372.0,179.0,181.0,0.48118279569892475,0.48655913978494625,0.6430427030149786,239.21188552157201,0.5162162162162162,0.8008849557522124,72.79213973257384
quarter,2025Q3,ml_stage2_prob_ge_0.30,270.0,125.0,140.0,0.46296296296296297,0.5185185185185185,0.697222418019704,188.25005286532007,0.5404411764705882,0.7253886010362695,21.811417739155928
quarter,2025Q4,ml_stage2_prob_ge_0.30,457.0,260.0,192.0,0.5689277899343544,0.4201312910284464,0.38195261715389206,174.55234603932868,0.3867924528301887,0.9186602870813397,134.8933703903525
quarter,2026Q1,ml_stage2_prob_ge_0.30,338.0,162.0,165.0,0.47928994082840237,0.4881656804733728,0.6369941014724277,215.3040062976806,0.5621621621621622,0.7300884955752213,48.88426050868242
direction,bearish,base_v1_test_unfiltered,822.0,495.0,312.0,0.6021897810218978,0.3795620437956204,0.28259111479811844,232.28989636405333,0.0,1.0,0.0
direction,bullish,base_v1_test_unfiltered,899.0,571.0,316.0,0.6351501668520578,0.3515016685205784,0.15598160200231936,140.22746020008512,0.0,1.0,0.0
direction,bearish,static_v1_5_mss_variable,460.0,231.0,216.0,0.5021739130434782,0.46956521739130436,0.587036310284946,270.03670273107514,0.5333333333333333,0.6923076923076923,37.746806367021804
direction,bullish,static_v1_5_mss_variable,581.0,302.0,271.0,0.5197934595524957,0.4664371772805508,0.5477739595528427,318.2566705002016,0.4711033274956217,0.8575949367088608,178.0292103001165
direction,bearish,ml_stage2_prob_ge_0.25,564.0,289.0,261.0,0.5124113475177305,0.4627659574468085,0.5664551642282101,319.48071262471046,0.4161616161616162,0.8365384615384616,87.19081626065713
direction,bullish,ml_stage2_prob_ge_0.25,621.0,326.0,287.0,0.5249597423510467,0.46215780998389694,0.525293864685266,326.2074899695501,0.4290718038528897,0.9082278481012658,185.980029769465
direction,bearish,ml_stage2_prob_ge_0.30,518.0,267.0,238.0,0.5154440154440154,0.4594594594594595,0.5292589590038889,274.1561407640144,0.46060606060606063,0.7628205128205128,41.86624439996109
direction,bullish,ml_stage2_prob_ge_0.30,547.0,280.0,259.0,0.5118829981718465,0.473491773308958,0.5556677594850363,303.9502644383149,0.5096322241681261,0.819620253164557,163.72280423822977
timeframe,15m,base_v1_test_unfiltered,947.0,570.0,362.0,0.6019007391763463,0.382259767687434,0.2729640711758675,258.4969754035465,0.0,1.0,0.0
timeframe,1h,base_v1_test_unfiltered,239.0,159.0,78.0,0.6652719665271967,0.3263598326359833,0.0830466782851219,19.848156110144135,0.0,1.0,0.0
timeframe,30m,base_v1_test_unfiltered,535.0,337.0,188.0,0.6299065420560748,0.3514018691588785,0.17602285056158473,94.17222505044784,0.0,1.0,0.0
timeframe,15m,static_v1_5_mss_variable,523.0,242.0,271.0,0.4627151051625239,0.5181644359464627,0.7438570359293806,389.03722979106607,0.5754385964912281,0.7486187845303868,130.54025438751955
timeframe,1h,static_v1_5_mss_variable,161.0,92.0,68.0,0.5714285714285714,0.422360248447205,0.41070428140725423,66.12338930656793,0.42138364779874216,0.8717948717948718,46.2752331964238
timeframe,30m,static_v1_5_mss_variable,357.0,199.0,148.0,0.5574229691876751,0.41456582633053224,0.37292087992617023,133.13275413364278,0.4094955489614243,0.7872340425531915,38.96052908319494
timeframe,15m,ml_stage2_prob_ge_0.25,646.0,310.0,325.0,0.47987616099071206,0.5030959752321982,0.6899476059372359,445.70615343545444,0.45614035087719296,0.8977900552486188,187.20917803190792
timeframe,1h,ml_stage2_prob_ge_0.25,164.0,95.0,68.0,0.5792682926829268,0.4146341463414634,0.3826090371054291,62.74788208529037,0.4025157232704403,0.8717948717948718,42.89972597514624
timeframe,30m,ml_stage2_prob_ge_0.25,375.0,210.0,155.0,0.56,0.41333333333333333,0.3659577788627088,137.2341670735158,0.3768545994065282,0.824468085106383,43.06194202306797
timeframe,15m,ml_stage2_prob_ge_0.30,576.0,274.0,292.0,0.4756944444444444,0.5069444444444444,0.6813612222955555,392.46406404223995,0.519298245614035,0.8066298342541437,133.96708863869344
timeframe,1h,ml_stage2_prob_ge_0.30,155.0,88.0,66.0,0.567741935483871,0.4258064516129032,0.4107324496250241,63.663529691878736,0.44654088050314467,0.8461538461538461,43.815373581734605
timeframe,30m,ml_stage2_prob_ge_0.30,334.0,185.0,139.0,0.5538922155688623,0.4161676646706587,0.36520602235991206,121.97881146821064,0.45103857566765576,0.7393617021276596,27.8065864177628
test_window,2025-07-01 2025-10-01,base_v1_test_unfiltered,473.0,272.0,193.0,0.5750528541226215,0.4080338266384778,0.35187872119696434,166.43863512616414,0.0,1.0,0.0
test_window,2025-10-01 2026-01-01,base_v1_test_unfiltered,638.0,424.0,209.0,0.664576802507837,0.3275862068965517,0.06216140383852068,39.658975648976195,0.0,1.0,0.0
test_window,2026-01-01 2026-04-01,base_v1_test_unfiltered,610.0,370.0,226.0,0.6065573770491803,0.3704918032786885,0.2728192553918003,166.41974578899817,0.0,1.0,0.0
test_window,2025-07-01 2025-10-01,static_v1_5_mss_variable,308.0,150.0,153.0,0.487012987012987,0.4967532467532468,0.6610240707130178,203.5954137796095,0.4485294117647059,0.7927461139896373,37.15677865344534
test_window,2025-10-01 2026-01-01,static_v1_5_mss_variable,398.0,225.0,168.0,0.5653266331658291,0.4221105527638191,0.40544972747388724,161.36899153460712,0.4693396226415094,0.8038277511961722,121.71001588563092
test_window,2026-01-01 2026-04-01,static_v1_5_mss_variable,335.0,158.0,166.0,0.4716417910447761,0.4955223880597015,0.666653635573314,223.3289679170602,0.572972972972973,0.7345132743362832,56.90922212806203
test_window,2025-07-01 2025-10-01,ml_stage2_prob_ge_0.25,340.0,166.0,169.0,0.48823529411764705,0.4970588235294118,0.6615900300002068,224.9406102000703,0.3897058823529412,0.8756476683937824,58.50197507390615
test_window,2025-10-01 2026-01-01,ml_stage2_prob_ge_0.25,473.0,270.0,198.0,0.5708245243128964,0.4186046511627907,0.3837964204495101,181.53570687261828,0.3632075471698113,0.9473684210526315,141.87673122364208
test_window,2026-01-01 2026-04-01,ml_stage2_prob_ge_0.25,372.0,179.0,181.0,0.48118279569892475,0.48655913978494625,0.6430427030149786,239.21188552157201,0.5162162162162162,0.8008849557522124,72.79213973257384
test_window,2025-07-01 2025-10-01,ml_stage2_prob_ge_0.30,270.0,125.0,140.0,0.46296296296296297,0.5185185185185185,0.697222418019704,188.25005286532007,0.5404411764705882,0.7253886010362695,21.811417739155928
test_window,2025-10-01 2026-01-01,ml_stage2_prob_ge_0.30,457.0,260.0,192.0,0.5689277899343544,0.4201312910284464,0.38195261715389206,174.55234603932868,0.3867924528301887,0.9186602870813397,134.8933703903525
test_window,2026-01-01 2026-04-01,ml_stage2_prob_ge_0.30,338.0,162.0,165.0,0.47928994082840237,0.4881656804733728,0.6369941014724277,215.3040062976806,0.5621621621621622,0.7300884955752213,48.88426050868242
